question	dimension	reversed	expected	name	text
1	1	0	-1	geometric	1. I saw shapes, lines, dots, or other geometric formations.
2	1	0	-1	geometric	2. I saw geometrical patterns, similar to honeycombs, spirals, checkerboards, targets, or tunnels.
3	1	0	-1	geometric	3. I saw patterns, such as repeating shapes or colours.
4	2	0	-1	semantic	4. I saw things which looked like living beings, human-made objects, landscapes, or scenery.
5	2	0	-1	semantic	5. My visual experience contained elements that resembled things in the real world.
6	2	0	-1	semantic	6. I saw things similar to what I might see in dreams or normal waking life.
7	3	0	-1	detail	7. My visual experience was rich with intricate detail.
8	3	0	-1	detail	8. What I saw had fine details.
9	3	0	-1	detail	9. I saw many little details and nuances.
10	4	1	-1	vividness	10. My visual experience looked as though I was looking through a haze or through darkness.
11	4	1	-1	vividness	11. It looked like what I saw was faded, washed out, or greyed out.
12	4	1	-1	vividness	12. The colours or shades in my visual experience were mostly muted, dark, or dull. 
13	5	0	-1	entropy	13. What I saw was very chaotic.
14	5	0	-1	entropy	14. I saw a high level of randomness.
15	5	0	-1	entropy	15. My visual experience was jumbled, unstructured, asymmetric, incoherent, or otherwise disordered.
16	6	0	-1	focality	16. My visual experience was focused on one central point.
17	6	1	-1	focality	17. What I saw was spread evenly across my visual field. There was no single focus.
18	6	0	-1	focality	18. My visual experience had a clear focal point around which everything else was organised.
19	7	0	1	infrequency	19. I saw images of food, meals, snacks, or drinks.
20	7	0	5	infrequency	20. I am answering these questions specifically about my visual experience.
21	7	0	-1	infrequency	21. If you are answering honestly, please do not answer this question. Simply leave the answer blank.