ResponseId,substance_codes,substance_labels,primary_substance_code,primary_substance,dosage_code,dosage_label,dosage_text,other_substances_any,other_substances_text,stage_code,stage_label,when_code,when_label
R_2XhSm3rVuTDh2XT,[2],Psilocybin,2.0,Psilocybin,5.0,very high,7g,False,,4,late middle,2,within the past month
R_82J66rTAKMAkEMO,[2],Psilocybin,2.0,Psilocybin,,Not reported,2.5gms psychedelic mushrooms,False,,2,early middle,1,within the past week
R_80OjC1M5y1RxlPM,[3],Ayahuasca,3.0,Ayahuasca,4.0,high,,False,,3,middle,3,within the past 3 months
R_8rdBxiZHeShoPvf,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,1 and a half grams of magic mushrooms ,True,,5,end,4,within the past 6 months
R_2rH7YSrGIo4VOqn,[2],Psilocybin,2.0,Psilocybin,2.0,small,0.5 grams,False,,1,beginning,1,within the past week
R_21XjwbyGzuOyHgI,[1],LSD,1.0,LSD,4.0,high,,False,,2,early middle,1,within the past week
R_8wRkx3xsKEWvkx4,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2g,False,,3,middle,1,within the past week
R_2z7lDjn9lsFW9le,[2],Psilocybin,2.0,Psilocybin,4.0,high,25g Truffles,True,,1,beginning,2,within the past month
R_2QZ0mVOXJ7bErCC,[2],Psilocybin,2.0,Psilocybin,4.0,high,5g powdered psilocybin ,True,,2,early middle,1,within the past week
R_2By8fQWBDdVOmvN,"[1, 2, 8]","LSD, Psilocybin, Salvia",,,3.0,moderate,,True,,2,early middle,1,within the past week
R_7W7t8gWXV5YT89r,[1],LSD,1.0,LSD,3.0,moderate,,False,,3,middle,1,within the past week
R_2oHhbfWNL2kkcVd,[5],Mescaline,5.0,Mescaline,3.0,moderate,,False,,3,middle,2,within the past month
R_773U7ZqYsjUkFKp,[2],Psilocybin,2.0,Psilocybin,4.0,high,3.5g,True,,3,middle,1,within the past week
R_7s5KA1fQw1up3RI,[2],Psilocybin,2.0,Psilocybin,5.0,very high,9.5 grams,True,,3,middle,2,within the past month
R_4GDEWIUC4ym26CC,[5],Mescaline,5.0,Mescaline,3.0,moderate,,False,,4,late middle,4,within the past 6 months
R_43mdeeA3lr99XfP,[5],Mescaline,5.0,Mescaline,3.0,moderate,,False,,4,late middle,3,within the past 3 months
R_2pXXnHm4NyMkzzI,[3],Ayahuasca,3.0,Ayahuasca,3.0,moderate,Full cup,False,,3,middle,1,within the past week
R_7QF7WxFwsbDGmNo,[3],Ayahuasca,3.0,Ayahuasca,4.0,high,1.5 oz of ayahuasca tea,False,,3,middle,2,within the past month
R_5daHaWG1jP1noqh,[3],Ayahuasca,3.0,Ayahuasca,4.0,high,,False,,2,early middle,2,within the past month
R_1j7CZRMDdlYZsRa,[3],Ayahuasca,3.0,Ayahuasca,4.0,high,,False,,3,middle,1,within the past week
R_9ewzLHjgKMw7aAo,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,,False,,2,early middle,2,within the past month
R_6eJKKdxcAEn8sLc,[2],Psilocybin,2.0,Psilocybin,5.0,very high,3.5 grams + Lemon Juice (Felt like 5g),False,,3,middle,7,Unknown(7)
R_7jeylS2IMX0LQHL,[3],Ayahuasca,3.0,Ayahuasca,3.0,moderate,,False,,3,middle,1,within the past week
R_93ORM1AwErq8M3n,[3],Ayahuasca,3.0,Ayahuasca,3.0,moderate,1 cup,False,,3,middle,1,within the past week
R_5QAF6WKKRnrvhgR,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3 grams of dried Psilocybe cubensis,False,,2,early middle,1,within the past week
R_9I5dYnTeMGdPyAF,[5],Mescaline,5.0,Mescaline,3.0,moderate,,False,,4,late middle,4,within the past 6 months
R_57qyyHfdXuoAZuM,[3],Ayahuasca,3.0,Ayahuasca,4.0,high,2 cups of ayahuasca,False,,3,middle,1,within the past week
R_8GwVWwztV7oDxie,[3],Ayahuasca,3.0,Ayahuasca,4.0,high,"230mg harmala alkaloids freebase from syrian rue, 40mg freebase DMT + 30mg freebase DMT 1.5 hours later. All oral",False,,4,late middle,2,within the past month
R_4ffBkooFqHzbTXu,"[3, 11]","Ayahuasca, Other",,,4.0,high,,False,,1,beginning,1,within the past week
R_2xFuqG16chSKLcD,[2],Psilocybin,2.0,Psilocybin,4.0,high,6g dry psylocybin mushrooms ,False,,2,early middle,1,within the past week
R_8dgzwbDadiIpEzC,[2],Psilocybin,2.0,Psilocybin,5.0,very high,10 dried grams,False,,3,middle,1,within the past week
R_36ao9YGhC5GcZrq,[2],Psilocybin,2.0,Psilocybin,4.0,high,5 grams and psilocybin mushrooms (golden teacher strain),False,,2,early middle,1,within the past week
R_8c5yw36Pz3kZ3Cp,[6],5-MeO-DMT,6.0,5-MeO-DMT,3.0,moderate,,False,,2,early middle,1,within the past week
R_2U4mfZSqUjhgxov,[2],Psilocybin,2.0,Psilocybin,4.0,high,2 gr,False,,3,middle,4,within the past 6 months
R_21nfNz8AxMsB3vb,[2],Psilocybin,2.0,Psilocybin,2.0,small,"10 grams, not dried",False,,4,late middle,4,within the past 6 months
R_21hgqYz8t5glRvQ,[2],Psilocybin,2.0,Psilocybin,4.0,high,3.5g dry Liberty Cap mushrooms ,False,,4,late middle,1,within the past week
R_2jJ9Enb3PhGhhr0,[1],LSD,1.0,LSD,3.0,moderate,150 microgram,False,,3,middle,1,within the past week
R_2GBvrInZcbMS2Sn,"[3, 4, 11]","Ayahuasca, DMT, Other",,,3.0,moderate,"Vaped DMT in ecig + 500mg ""5x"" harmala extract 1hr before",True,Harmalas,1,beginning,1,within the past week
R_80UPG53TvLSipp9,[2],Psilocybin,2.0,Psilocybin,5.0,very high,5g of mushrooms ,False,,3,middle,1,within the past week
R_8GoYPzVdsrKHvoX,[2],Psilocybin,2.0,Psilocybin,2.0,small,0.5g,True,,2,early middle,2,within the past month
R_2j9CQBXGXNNuzPK,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3.5,False,,1,beginning,7,Unknown(7)
R_85ynJUGBEKkyGVb,[2],Psilocybin,2.0,Psilocybin,4.0,high,3.5grams,False,,3,middle,1,within the past week
R_3PodwOUP2vSsgnv,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3.5,False,,2,early middle,1,within the past week
R_7WC5s3UbYjb6FoQ,[11],Other,,,4.0,high,40mg,False,,2,early middle,1,within the past week
R_85RZ7KzgNx48Ks3,[2],Psilocybin,2.0,Psilocybin,4.0,high,5-7g ,False,,1,beginning,1,within the past week
R_20vDr1r7HHiVqNj,[2],Psilocybin,2.0,Psilocybin,4.0,high,11 grams but I have a crazy brain that isn’t as subseptable to psychedelics and feel them less ,False,,4,late middle,1,within the past week
R_2MmTlNP5xc4RGg9,[2],Psilocybin,2.0,Psilocybin,4.0,high,3.8g ,False,,3,middle,7,Unknown(7)
R_2fa65f8opk8WyHo,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2 grams,False,,2,early middle,1,within the past week
R_2GfjC3MVnEcoTeY,[2],Psilocybin,2.0,Psilocybin,4.0,high,,False,,3,middle,1,within the past week
R_2EE5rJTSC8DESKw,[2],Psilocybin,2.0,Psilocybin,4.0,high,,False,,4,late middle,1,within the past week
R_2GPHintDgstJ7cB,[1],LSD,1.0,LSD,3.0,moderate,,False,,2,early middle,1,within the past week
R_8i9xYeUG6pgGUzV,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3grams,False,,3,middle,1,within the past week
R_8lsILlZZYFC4ihg,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,,False,,3,middle,1,within the past week
R_8gtFkXjmgJKhJZe,[1],LSD,1.0,LSD,3.0,moderate,200 ug,False,,2,early middle,1,within the past week
R_137hIGLXGFs3l60,[11],Other,,,3.0,moderate,,False,,2,early middle,1,within the past week
R_6JJWJhHMGO0dgDx,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2.5g,True,,1,beginning,1,within the past week
R_1HTi09RS1k4sIfV,[2],Psilocybin,2.0,Psilocybin,4.0,high,3.5g strong cubensis,False,,2,early middle,2,within the past month
R_3KBzCrdG7Kixayl,[11],Other,,,3.0,moderate,10mg each,False,,2,early middle,3,within the past 3 months
R_6FrxVHjAPK79RaF,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3g,False,,2,early middle,1,within the past week
R_5PhwLs2FT6XpBvt,[1],LSD,1.0,LSD,2.0,small,probably somewhere around 60 micrograms of 1V-LSD and 20-30mg of THC,True,,3,middle,1,within the past week
R_67m1CvToNb2BnHK,[6],5-MeO-DMT,6.0,5-MeO-DMT,3.0,moderate,,False,,3,middle,1,within the past week
R_2msW0FZBeZ1QEFI,[7],2C-B,7.0,2C-B,4.0,high,40mg,False,,3,middle,3,within the past 3 months
R_2DtGGi1TA31uEEr,[1],LSD,1.0,LSD,4.0,high,300ug of 1CP-LSD ,False,,2,early middle,1,within the past week
R_25UT8oy5Eh47os1,[2],Psilocybin,2.0,Psilocybin,5.0,very high,Psilocibine extract - close to 50ml ,False,,2,early middle,2,within the past month
R_4ESAEdazLY4ALeU,[2],Psilocybin,2.0,Psilocybin,4.0,high,5 1/2grams,False,,3,middle,4,within the past 6 months
R_8MzkEYWgiXpb5Xu,[7],2C-B,7.0,2C-B,3.0,moderate,12.5 mg,True,,3,middle,1,within the past week
R_8G4hOKuGYmvSuDD,[2],Psilocybin,2.0,Psilocybin,4.0,high,3 grams of mazatapec mushrooms,False,,4,late middle,2,within the past month
R_8F9uw42o9nY8Uv6,[1],LSD,1.0,LSD,3.0,moderate,150 microgramm,False,,1,beginning,7,Unknown(7)
R_7780m5Lksc3sPVN,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,,False,,2,early middle,1,within the past week
R_2TATA4ahzZRCHGr,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3g,False,,3,middle,1,within the past week
R_4gTPlhPjdHSVkZW,[1],LSD,1.0,LSD,4.0,high,400ug,True,,2,early middle,1,within the past week
R_3nT0xtUA3KHN3DC,[4],DMT,4.0,DMT,4.0,high,40-50mg,False,,3,middle,1,within the past week
R_4WZ4Hi5VzsoECoG,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2g Golden teachers ,False,,2,early middle,1,within the past week
R_3g6ISCahP3G9iD3,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3g of r44 psylocybin mushrooms - lemontek ,False,,3,middle,1,within the past week
R_7hRUW8QWVPjWaBP,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2 grams of Albino Penis Envy mushrooms,False,,3,middle,1,within the past week
R_3irmCSSogJ61rCp,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2.5g,True,,4,late middle,4,within the past 6 months
R_54GEo6oVUabMnax,[11],Other,,,3.0,moderate,,False,,4,late middle,3,within the past 3 months
R_7KyVQhuoz3xBsZj,[11],Other,,,2.0,small,165 mg,True,DXM,4,late middle,7,Unknown(7)
R_3kwN7ySaA22SJ6V,"[1, 4]","LSD, DMT",,,4.0,high,300uug lsd I don’t know how much dmt,True,,4,late middle,1,within the past week
R_1SeZht6ngAfNSq5,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2 grams,True,,4,late middle,2,within the past month
R_3nP0j7VurSQ30UR,[1],LSD,1.0,LSD,3.0,moderate,100µg,True,,4,late middle,2,within the past month
R_1jcXe3APZpYeQZ4,[4],DMT,4.0,DMT,3.0,moderate,,True,,4,late middle,1,within the past week
R_5khumMPXFiXq2mN,[2],Psilocybin,2.0,Psilocybin,5.0,very high,3.5 g,True,,3,middle,3,within the past 3 months
R_2F5IyUssVznUTws,[2],Psilocybin,2.0,Psilocybin,2.0,small,10gr of psylocybin truffles ,False,,2,early middle,2,within the past month
R_7X1jQMIKoHTbgPv,[2],Psilocybin,2.0,Psilocybin,5.0,very high,7.5,False,,3,middle,1,within the past week
R_6kSo9g1dODtQ03c,[4],DMT,4.0,DMT,3.0,moderate,,False,,2,early middle,7,Unknown(7)
R_8iVJ1ho3Z4k8ZAq,[4],DMT,4.0,DMT,3.0,moderate,32mg (weighed but probably less sufficiently vaporised and inhaled),False,,3,middle,1,within the past week
R_5jsnI41DJqrDNQZ,[2],Psilocybin,2.0,Psilocybin,4.0,high,5.5g,False,,2,early middle,2,within the past month
R_2CK01qMaYfcChaX,[4],DMT,4.0,DMT,2.0,small,,False,,2,early middle,3,within the past 3 months
R_7osZ5aSJ6UotKKt,[2],Psilocybin,2.0,Psilocybin,2.0,small,,False,,3,middle,2,within the past month
R_3QFXKZfW1HNB4U1,[2],Psilocybin,2.0,Psilocybin,5.0,very high,7 grams,False,,1,beginning,1,within the past week
R_27vBMfv7MGk4616,[4],DMT,4.0,DMT,4.0,high,,False,,2,early middle,3,within the past 3 months
R_7vVagAXmB8XUfh7,[2],Psilocybin,2.0,Psilocybin,4.0,high,4g+ dried psilocybe cubensis,False,,4,late middle,4,within the past 6 months
R_8YyoKugoMTn4M1z,[1],LSD,1.0,LSD,1.0,very small,"Every time I microdose, estimated 10-15 ug via volumetric titrations 2-3x a week. A ~250 ug tab was placed into 25 ml of autoclaved DDW for 48h in the fridge prior to removal. I then take ~1.2-1.5 mL of this for each microdose. The first time I tried this batch of tabs took a quarter tab (~65 ug) to test the strength and had a full trip with beautiful fireworks-like visuals of blue and yellow colors when I was trying to fall asleep. ",True,,1,beginning,1,within the past week
R_1GxAvm8KltMMzxy,[4],DMT,4.0,DMT,3.0,moderate,,True,,3,middle,1,within the past week
R_3QK9VzlbRCvGUNb,"[2, 4]","Psilocybin, DMT",,,4.0,high,"1.5g psilocybin, 3x 10-second draws on a DMT vape cartridge",True,,2,early middle,1,within the past week
R_4NPATCn461mLqxu,"[1, 2, 7]","LSD, Psilocybin, 2C-B",,,4.0,high,70mg 2cb,False,,1,beginning,3,within the past 3 months
R_8iXuu7H3nTSfYYJ,[11],Other,,,3.0,moderate,,False,,3,middle,1,within the past week
R_2wuG6IXMtnlbTvu,"[1, 4]","LSD, DMT",,,4.0,high,"25mg DMT, 250ug LSD",False,,3,middle,1,within the past week
R_6jNtG02JTkb73U0,"[1, 7]","LSD, 2C-B",,,3.0,moderate,"LSD: 130 micrograms, 2-CB: 20 milligrams",True,,3,middle,2,within the past month
R_8gUQycXKMprZPFL,[6],5-MeO-DMT,6.0,5-MeO-DMT,4.0,high,,False,,1,beginning,2,within the past month
R_7LImanS7l4SfAir,[1],LSD,1.0,LSD,4.0,high,Roughly 200ug (micrograms),False,,2,early middle,2,within the past month
R_3X0WlmQtw40DxaZ,[2],Psilocybin,2.0,Psilocybin,4.0,high,3 grams APE,True,,2,early middle,3,within the past 3 months
R_9yY0qviKJyp5GiB,[2],Psilocybin,2.0,Psilocybin,2.0,small,"One large, dried mushroom",False,,2,early middle,1,within the past week
R_1RPKbY79g78GY8Z,[2],Psilocybin,2.0,Psilocybin,4.0,high,4G,False,,2,early middle,1,within the past week
R_1n0zaXyH6ohTTib,[2],Psilocybin,2.0,Psilocybin,4.0,high,,False,,5,end,3,within the past 3 months
R_34CmpeXlVQoqBRT,"[1, 4]","LSD, DMT",,,5.0,very high,"300mcg of 1P-LSD, 20mg of N,N-DMT",False,,2,early middle,1,within the past week
R_18YCSXlA5fLl7jP,[11],Other,,,3.0,moderate,200mg initial dose. 300mg additional ,False,,2,early middle,1,within the past week
R_3vdL508QUg6aR8p,[4],DMT,4.0,DMT,4.0,high,,False,,2,early middle,1,within the past week
R_3PoESucOHvYAbBO,[8],Salvia,8.0,Salvia,2.0,small,Thumb-index pinch of 20x extract,False,,2,early middle,1,within the past week
R_7fH4Uwtn6A5kYP0,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3g mushrooms,False,,4,late middle,7,Unknown(7)
R_1mO2vkLwu78FG8x,[2],Psilocybin,2.0,Psilocybin,4.0,high,4 g,False,,2,early middle,7,Unknown(7)
R_5kNOul3JzyJ4xyu,"[1, 11]","LSD, Other",,,5.0,very high,"100ug LSD, 5mg DOM",True,DOM,2,early middle,1,within the past week
R_4c9LpjNyoJ9tcKR,[2],Psilocybin,2.0,Psilocybin,4.0,high,2.5 grams of dried psilocybe subaeruginosa,True,,2,early middle,7,Unknown(7)
R_6TwA8WyH84D4kNj,[2],Psilocybin,2.0,Psilocybin,4.0,high,4g ,False,,3,middle,3,within the past 3 months
R_2atwkWhB5uThaiB,[11],Other,,,3.0,moderate,,True,Ketamine (not a traditional psychedelic) ,3,middle,2,within the past month
R_8ijU2gc80n03bLy,[11],Other,,,3.0,moderate,A couple of bumps (<0.1g),True,Ketamine,3,middle,1,within the past week
R_8gu5P1JNpANUF7k,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,10-12 grams,False,,2,early middle,1,within the past week
R_7JW7F9vQUpTcT7j,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2g ,False,,4,late middle,7,Unknown(7)
R_5QF8eBnBf7KdwlV,[2],Psilocybin,2.0,Psilocybin,2.0,small,,False,,3,middle,1,within the past week
R_5PdebkDfuiyxn1A,[9],Iboga,9.0,Iboga,3.0,moderate,12g,False,,2,early middle,3,within the past 3 months
R_4BFbOLahtq76Epz,"[2, 3, 4, 6, 5]","Psilocybin, Ayahuasca, DMT, 5-MeO-DMT, Mescaline",,,4.0,high,,False,,2,early middle,1,within the past week
R_2kgruKDCPJryY7L,[11],Other,,,3.0,moderate,20mg,True,4-ho-mipt,4,late middle,3,within the past 3 months
R_5IbIANEoFkvnH9f,[6],5-MeO-DMT,6.0,5-MeO-DMT,4.0,high,,False,,1,beginning,4,within the past 6 months
R_3XgCnO2PFLRTrfb,[4],DMT,4.0,DMT,3.0,moderate,30mg DMT,False,,1,beginning,1,within the past week
R_7JBWyQIvPN5Mn5f,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2g,False,,2,early middle,1,within the past week
R_5VpIpoJ6NLtbqud,[2],Psilocybin,2.0,Psilocybin,4.0,high,2 grams albino penis envy,True,,2,early middle,1,within the past week
R_8IYwikfq6sqEm14,[1],LSD,1.0,LSD,3.0,moderate,,True,,3,middle,2,within the past month
R_6FJ7nh5uyI7mRQw,[2],Psilocybin,2.0,Psilocybin,4.0,high,4g golden teacher mushrooms (psilocybin),False,,2,early middle,3,within the past 3 months
R_50SegqSp1pViEwz,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2.6g,False,,2,early middle,1,within the past week
R_2h9kJ0GNGHOs3JU,[1],LSD,1.0,LSD,1.0,very small,About 3/8s of a ~100ug tab,True,,4,late middle,4,within the past 6 months
R_3YbOzhhZlGGdgHL,[6],5-MeO-DMT,6.0,5-MeO-DMT,3.0,moderate,7 mg via subcutaneous injection,False,,3,middle,3,within the past 3 months
R_5JIgR9BWV3XH0CB,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,,True,,3,middle,2,within the past month
R_6njcVlMg90NBySB,[2],Psilocybin,2.0,Psilocybin,5.0,very high,10 grams,False,,4,late middle,1,within the past week
R_7WUNoxTOnO6U2yJ,[1],LSD,1.0,LSD,5.0,very high,900ug,False,,2,early middle,1,within the past week
R_3MaOrycpd4yC1P3,[4],DMT,4.0,DMT,4.0,high,,False,,3,middle,1,within the past week
R_3jDQmBnrSWUklzz,[2],Psilocybin,2.0,Psilocybin,4.0,high,3.5g,False,,1,beginning,1,within the past week
R_60Iuga4Z6yL5CI8,[2],Psilocybin,2.0,Psilocybin,4.0,high,approximately 40 mg psilocybin (determined via psilo qtest),False,,3,middle,4,within the past 6 months
R_3CO13leyO0zLD5W,[11],Other,,,2.0,small,4 mg,False,,3,middle,2,within the past month
R_9EbOzvpNpa2wilk,[1],LSD,1.0,LSD,4.0,high,150ug,False,,3,middle,2,within the past month
R_7QY9q8XilRLKstG,[11],Other,,,7.0,unknown,Whole chocolate bar,False,,3,middle,1,within the past week
R_6dEk7tRbV3LaFX3,[2],Psilocybin,2.0,Psilocybin,5.0,very high,8gq,True,,3,middle,1,within the past week
R_10qve2wOIYZYW4S,[3],Ayahuasca,3.0,Ayahuasca,4.0,high,,False,,3,middle,2,within the past month
R_5Jz2BKaGz36Aacw,"[2, 11]","Psilocybin, Other",,,3.0,moderate,,True,Ketamine ,4,late middle,1,within the past week
R_3YLBzV7SkT76JSk,[11],Other,,,4.0,high,0.250g,False,,3,middle,1,within the past week
R_71eIihtEmtR9l9D,[1],LSD,1.0,LSD,4.0,high,Approximately 300 ug,True,,3,middle,1,within the past week
R_8G5Hz6s4HL6zTeF,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2grams,False,,2,early middle,1,within the past week
R_1LHegeibglA8OXo,[4],DMT,4.0,DMT,4.0,high, One full inhale of DMT,False,,3,middle,4,within the past 6 months
R_1uEav9ajs52pZmh,[1],LSD,1.0,LSD,3.0,moderate,,False,,3,middle,1,within the past week
R_6eK67Dwd9ht07GN,"[1, 4, 6, 11]","LSD, DMT, 5-MeO-DMT, Other",,,4.0,high,,True,Marijuana,4,late middle,1,within the past week
R_6VdM7bgsPWGt9Db,[11],Other,,,3.0,moderate,"22 mg of 4-PrO-DMT, 10 mg of 4-HO-MET",False,,4,late middle,1,within the past week
R_8LLtgLKhBNA4S3j,[1],LSD,1.0,LSD,4.0,high,400mic,False,,3,middle,4,within the past 6 months
R_5P7FCo5BmthYc3n,"[4, 7]","DMT, 2C-B",,,4.0,high,40-44mg 2cb,False,,2,early middle,1,within the past week
R_7U4WLnLfxCUrrwt,[11],Other,,,4.0,high,,True,kratom powder and beer,1,beginning,3,within the past 3 months
R_3hrW82adgZcyfIX,[11],Other,,,4.0,high,350 mg,False,,3,middle,7,Unknown(7)
R_3yq9w5UucqeYNt7,[4],DMT,4.0,DMT,2.0,small,3 to 5 mg of DMT,False,,3,middle,7,Unknown(7)
R_11HS9eONc56dsiZ,[4],DMT,4.0,DMT,4.0,high,,False,,2,early middle,1,within the past week
R_8yscByO1TQthNRh,[2],Psilocybin,2.0,Psilocybin,4.0,high,5g dried psilocybe cubensis,False,,2,early middle,1,within the past week
R_8EMZWaYkigJCgSt,[2],Psilocybin,2.0,Psilocybin,4.0,high,15 GM's of Psychedelic truffles,False,,2,early middle,2,within the past month
R_85SBT8r1IZR94am,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,1.5 grams,False,,3,middle,7,Unknown(7)
R_8aKtbno2lglAgui,"[1, 2]","LSD, Psilocybin",,,4.0,high,"200ug, 2 tab",False,,3,middle,7,Unknown(7)
R_2JLumzHtoKQLAyC,[2],Psilocybin,2.0,Psilocybin,5.0,very high,,False,,1,beginning,1,within the past week
R_2EX9dVtMIDX097K,[11],Other,,,7.0,unknown,0,False,,1,beginning,4,within the past 6 months
R_1FUo0lxhNIRsf81,[2],Psilocybin,2.0,Psilocybin,5.0,very high,7.5 grams,False,,3,middle,2,within the past month
R_20p1bd3unHpzuKt,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3.2g dried mushrooms,False,,3,middle,1,within the past week
R_8AX1A9aMmrBx1xD,"[4, 11]","DMT, Other",,,3.0,moderate,"1g / 2ml vape juice, in a boxmod with ceramic coil at 27W",True,Harmala,1,beginning,1,within the past week
R_2CT7Frdh46f3Iur,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,2g of truffles approx,False,,3,middle,1,within the past week
R_2ynY01fw9XWR7LX,[3],Ayahuasca,3.0,Ayahuasca,5.0,very high,,False,,3,middle,1,within the past week
R_7PaZ45nY89wa57j,[11],Other,,,3.0,moderate,5 hawaiian baby woodrose seeds (unknown amount of LSA),False,,3,middle,1,within the past week
R_2fpGkicW4GZYeMQ,[11],Other,,,4.0,high,1gram,False,,3,middle,1,within the past week
R_1DRU2225CUAvX8A,[11],Other,,,3.0,moderate,450 morning glory seeds,True,LSA / LSH (Fresh heavenly blue morning glory seeds),3,middle,1,within the past week
R_1y7yuYfwzbn3l1v,[2],Psilocybin,2.0,Psilocybin,4.0,high,5 grams dried albino penis envy mushrooms,False,,3,middle,2,within the past month
R_1o5wjhVupQdtVNN,[4],DMT,4.0,DMT,4.0,high,,False,,3,middle,1,within the past week
R_1IWBI6TTDEUPshL,[1],LSD,1.0,LSD,3.0,moderate,,False,,3,middle,1,within the past week
R_8d6Cl3a7UGAv2x3,[1],LSD,1.0,LSD,4.0,high,3 tabs ,False,,2,early middle,2,within the past month
R_3hlrZWsERytZQnM,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,3 grams of shrooms,False,,3,middle,1,within the past week
R_2MSDgEjV0VOkQiQ,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,15 ,False,,3,middle,1,within the past week
R_3EtAPIZuJZbdnA6,[4],DMT,4.0,DMT,3.0,moderate,,False,,3,middle,1,within the past week
R_2riuyJmwhf7oXJw,[8],Salvia,8.0,Salvia,3.0,moderate,,True,,2,early middle,1,within the past week
R_8pXhj5kyayovIq4,[1],LSD,1.0,LSD,4.0,high,2 tabs and a joint,True,,3,middle,1,within the past week
R_8PdiFmTlm4Z4Iqw,[2],Psilocybin,2.0,Psilocybin,2.0,small,2g,False,,4,late middle,2,within the past month
R_833x9avNLhw0vJf,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,,False,,3,middle,2,within the past month
R_7JOAi7t8aKst5nL,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,About 2.6,False,,4,late middle,2,within the past month
R_1Mxw9B2tuqqHxdD,[2],Psilocybin,2.0,Psilocybin,4.0,high,"2g penis envy mushrooms, unusually strong based on ~1 dozen other mushroom experiences at 3.5g range",False,,3,middle,1,within the past week
R_8JmP8A9h7cIabhn,[1],LSD,1.0,LSD,3.0,moderate,100 micrograms,True,,2,early middle,1,within the past week
R_1iOwDYtLXxkmu4Z,"[2, 11]","Psilocybin, Other",,,5.0,very high,4g of Penis Envy mushrooms + 4g of Syrian Rue seeds,False,,2,early middle,3,within the past 3 months
R_8lm0MOmwviVgjHU,[2],Psilocybin,2.0,Psilocybin,5.0,very high,10 grams,True,,4,late middle,1,within the past week
R_6AWtFSrdggpxkaJ,"[4, 6]","DMT, 5-MeO-DMT",,,3.0,moderate,7MG 5-MEO-DMT,False,,1,beginning,7,Unknown(7)
R_8uHUPBl1SULNtat,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,"2,5 grams mushrooms ",False,,3,middle,3,within the past 3 months
R_6iDwrWlUCGwPHXy,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,,True,,3,middle,2,within the past month
R_5j6uJaMdEcrEJMS,[6],5-MeO-DMT,6.0,5-MeO-DMT,4.0,high,,False,,1,beginning,7,Unknown(7)
R_5wHoX3ttRiUW43g,[2],Psilocybin,2.0,Psilocybin,4.0,high,4g psilocybin ,False,,3,middle,2,within the past month
R_1PiLrtgqgAHgbYJ,[1],LSD,1.0,LSD,4.0,high,two tabs,True,,3,middle,2,within the past month
R_6smIW7YFtWsOdCQ,[11],Other,,,2.0,small,6mg,False,,3,middle,1,within the past week
R_2LbtsK668RvapeF,"[2, 6]","Psilocybin, 5-MeO-DMT",,,4.0,high,,False,,1,beginning,3,within the past 3 months
R_8pldxKnKDimPDys,[6],5-MeO-DMT,6.0,5-MeO-DMT,7.0,unknown,,False,,3,middle,1,within the past week
R_7cTzDfiLPQ0wBC9,[6],5-MeO-DMT,6.0,5-MeO-DMT,3.0,moderate,Roughly .02mg,False,,3,middle,1,within the past week
R_1levP6TzI6EFeP7,[1],LSD,1.0,LSD,4.0,high,200,True,,3,middle,1,within the past week
R_6QEuAAP3YqW0Th7,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,4 grams,False,,1,beginning,1,within the past week
R_6rF4jrVpI9mVj9v,[2],Psilocybin,2.0,Psilocybin,3.0,moderate,4 grams,False,,1,beginning,1,within the past week
R_8Yms2EHNED6fUBP,[2],Psilocybin,2.0,Psilocybin,4.0,high,4g,True,,2,early middle,1,within the past week
