ResponseId,Non-Physicalist Beliefs
R_2XhSm3rVuTDh2XT,5.777777777777778
R_82J66rTAKMAkEMO,5.555555555555555
R_80OjC1M5y1RxlPM,6.666666666666667
R_8rdBxiZHeShoPvf,4.666666666666667
R_2rH7YSrGIo4VOqn,6.222222222222222
R_21XjwbyGzuOyHgI,3.3333333333333335
R_8wRkx3xsKEWvkx4,4.888888888888889
R_2z7lDjn9lsFW9le,6.333333333333333
R_2QZ0mVOXJ7bErCC,2.888888888888889
R_2By8fQWBDdVOmvN,2.888888888888889
R_7W7t8gWXV5YT89r,3.3333333333333335
R_2oHhbfWNL2kkcVd,3.4444444444444446
R_773U7ZqYsjUkFKp,2.7777777777777777
R_7s5KA1fQw1up3RI,6.111111111111111
R_4GDEWIUC4ym26CC,5.111111111111111
R_43mdeeA3lr99XfP,4.888888888888889
R_2pXXnHm4NyMkzzI,5.666666666666667
R_7QF7WxFwsbDGmNo,6.111111111111111
R_5daHaWG1jP1noqh,5.0
R_1j7CZRMDdlYZsRa,5.555555555555555
R_9ewzLHjgKMw7aAo,2.6666666666666665
R_6eJKKdxcAEn8sLc,5.222222222222222
R_7jeylS2IMX0LQHL,4.888888888888889
R_93ORM1AwErq8M3n,2.7777777777777777
R_5QAF6WKKRnrvhgR,3.6666666666666665
R_9I5dYnTeMGdPyAF,5.222222222222222
R_57qyyHfdXuoAZuM,7.0
R_8GwVWwztV7oDxie,2.6666666666666665
R_4ffBkooFqHzbTXu,3.6666666666666665
R_2xFuqG16chSKLcD,5.222222222222222
R_8dgzwbDadiIpEzC,5.333333333333333
R_36ao9YGhC5GcZrq,4.666666666666667
R_8c5yw36Pz3kZ3Cp,5.333333333333333
R_2U4mfZSqUjhgxov,5.555555555555555
R_21nfNz8AxMsB3vb,2.888888888888889
R_21hgqYz8t5glRvQ,5.666666666666667
R_2jJ9Enb3PhGhhr0,3.0
R_2GBvrInZcbMS2Sn,4.0
R_80UPG53TvLSipp9,4.555555555555555
R_8GoYPzVdsrKHvoX,5.0
R_2j9CQBXGXNNuzPK,5.0
R_85ynJUGBEKkyGVb,5.333333333333333
R_3PodwOUP2vSsgnv,5.444444444444445
R_7WC5s3UbYjb6FoQ,4.111111111111111
R_85RZ7KzgNx48Ks3,5.333333333333333
R_20vDr1r7HHiVqNj,3.5555555555555554
R_2MmTlNP5xc4RGg9,5.888888888888889
R_2fa65f8opk8WyHo,6.0
R_2GfjC3MVnEcoTeY,4.666666666666667
R_2EE5rJTSC8DESKw,4.444444444444445
R_2GPHintDgstJ7cB,3.4444444444444446
R_8i9xYeUG6pgGUzV,5.888888888888889
R_8lsILlZZYFC4ihg,2.3333333333333335
R_8gtFkXjmgJKhJZe,5.333333333333333
R_137hIGLXGFs3l60,2.0
R_6JJWJhHMGO0dgDx,4.333333333333333
R_1HTi09RS1k4sIfV,3.3333333333333335
R_3KBzCrdG7Kixayl,4.111111111111111
R_6FrxVHjAPK79RaF,4.888888888888889
R_5PhwLs2FT6XpBvt,2.5555555555555554
R_67m1CvToNb2BnHK,6.666666666666667
R_2msW0FZBeZ1QEFI,4.555555555555555
R_2DtGGi1TA31uEEr,5.555555555555555
R_25UT8oy5Eh47os1,3.888888888888889
R_4ESAEdazLY4ALeU,5.111111111111111
R_8MzkEYWgiXpb5Xu,6.777777777777778
R_8G4hOKuGYmvSuDD,5.111111111111111
R_8F9uw42o9nY8Uv6,6.666666666666667
R_7780m5Lksc3sPVN,4.888888888888889
R_2TATA4ahzZRCHGr,5.555555555555555
R_4gTPlhPjdHSVkZW,5.666666666666667
R_3nT0xtUA3KHN3DC,3.7777777777777777
R_4WZ4Hi5VzsoECoG,5.555555555555555
R_3g6ISCahP3G9iD3,6.111111111111111
R_7hRUW8QWVPjWaBP,5.666666666666667
R_3irmCSSogJ61rCp,5.111111111111111
R_54GEo6oVUabMnax,3.4444444444444446
R_7KyVQhuoz3xBsZj,3.888888888888889
R_3kwN7ySaA22SJ6V,4.333333333333333
R_1SeZht6ngAfNSq5,4.888888888888889
R_3nP0j7VurSQ30UR,4.444444444444445
R_1jcXe3APZpYeQZ4,6.666666666666667
R_5khumMPXFiXq2mN,3.7777777777777777
R_2F5IyUssVznUTws,1.3333333333333333
R_7X1jQMIKoHTbgPv,6.111111111111111
R_6kSo9g1dODtQ03c,3.0
R_8iVJ1ho3Z4k8ZAq,5.111111111111111
R_5jsnI41DJqrDNQZ,4.333333333333333
R_2CK01qMaYfcChaX,3.6666666666666665
R_7osZ5aSJ6UotKKt,5.333333333333333
R_3QFXKZfW1HNB4U1,5.555555555555555
R_27vBMfv7MGk4616,5.888888888888889
R_7vVagAXmB8XUfh7,3.111111111111111
R_8YyoKugoMTn4M1z,4.777777777777778
R_1GxAvm8KltMMzxy,6.0
R_3QK9VzlbRCvGUNb,5.222222222222222
R_4NPATCn461mLqxu,3.6666666666666665
R_8iXuu7H3nTSfYYJ,4.888888888888889
R_2wuG6IXMtnlbTvu,2.0
R_6jNtG02JTkb73U0,4.0
R_8gUQycXKMprZPFL,6.111111111111111
R_7LImanS7l4SfAir,3.5555555555555554
R_3X0WlmQtw40DxaZ,3.888888888888889
R_9yY0qviKJyp5GiB,4.666666666666667
R_1RPKbY79g78GY8Z,6.333333333333333
R_1n0zaXyH6ohTTib,5.555555555555555
R_34CmpeXlVQoqBRT,5.222222222222222
R_18YCSXlA5fLl7jP,5.333333333333333
R_3vdL508QUg6aR8p,1.4444444444444444
R_3PoESucOHvYAbBO,4.0
R_7fH4Uwtn6A5kYP0,1.3333333333333333
R_1mO2vkLwu78FG8x,6.0
R_5kNOul3JzyJ4xyu,1.0
R_4c9LpjNyoJ9tcKR,3.5555555555555554
R_6TwA8WyH84D4kNj,6.666666666666667
R_2atwkWhB5uThaiB,2.111111111111111
R_8ijU2gc80n03bLy,4.333333333333333
R_8gu5P1JNpANUF7k,5.777777777777778
R_7JW7F9vQUpTcT7j,2.888888888888889
R_5QF8eBnBf7KdwlV,6.0
R_5PdebkDfuiyxn1A,6.111111111111111
R_4BFbOLahtq76Epz,4.555555555555555
R_2kgruKDCPJryY7L,5.444444444444445
R_5IbIANEoFkvnH9f,4.777777777777778
R_3XgCnO2PFLRTrfb,1.6666666666666667
R_7JBWyQIvPN5Mn5f,4.111111111111111
R_5VpIpoJ6NLtbqud,1.7777777777777777
R_8IYwikfq6sqEm14,1.4444444444444444
R_6FJ7nh5uyI7mRQw,1.2222222222222223
R_50SegqSp1pViEwz,3.2222222222222223
R_2h9kJ0GNGHOs3JU,3.3333333333333335
R_3YbOzhhZlGGdgHL,5.444444444444445
R_5JIgR9BWV3XH0CB,3.7777777777777777
R_6njcVlMg90NBySB,4.666666666666667
R_7WUNoxTOnO6U2yJ,6.0
R_3MaOrycpd4yC1P3,3.3333333333333335
R_3jDQmBnrSWUklzz,4.444444444444445
R_60Iuga4Z6yL5CI8,2.5555555555555554
R_3CO13leyO0zLD5W,2.7777777777777777
R_9EbOzvpNpa2wilk,4.222222222222222
R_7QY9q8XilRLKstG,4.333333333333333
R_6dEk7tRbV3LaFX3,2.111111111111111
R_10qve2wOIYZYW4S,4.888888888888889
R_5Jz2BKaGz36Aacw,3.4444444444444446
R_3YLBzV7SkT76JSk,5.111111111111111
R_71eIihtEmtR9l9D,2.7777777777777777
R_8G5Hz6s4HL6zTeF,5.0
R_1LHegeibglA8OXo,6.666666666666667
R_1uEav9ajs52pZmh,1.8888888888888888
R_6eK67Dwd9ht07GN,6.111111111111111
R_6VdM7bgsPWGt9Db,3.2222222222222223
R_8LLtgLKhBNA4S3j,3.888888888888889
R_5P7FCo5BmthYc3n,4.222222222222222
R_7U4WLnLfxCUrrwt,3.888888888888889
R_3hrW82adgZcyfIX,3.6666666666666665
R_3yq9w5UucqeYNt7,4.444444444444445
R_11HS9eONc56dsiZ,4.888888888888889
R_8yscByO1TQthNRh,3.3333333333333335
R_8EMZWaYkigJCgSt,3.3333333333333335
R_85SBT8r1IZR94am,2.0
R_8aKtbno2lglAgui,1.2222222222222223
R_2JLumzHtoKQLAyC,6.777777777777778
R_2EX9dVtMIDX097K,5.555555555555555
R_1FUo0lxhNIRsf81,6.666666666666667
R_20p1bd3unHpzuKt,4.666666666666667
R_8AX1A9aMmrBx1xD,4.444444444444445
R_2CT7Frdh46f3Iur,3.888888888888889
R_2ynY01fw9XWR7LX,4.444444444444445
R_7PaZ45nY89wa57j,3.5555555555555554
R_2fpGkicW4GZYeMQ,5.888888888888889
R_1DRU2225CUAvX8A,4.222222222222222
R_1y7yuYfwzbn3l1v,3.7777777777777777
R_1o5wjhVupQdtVNN,1.4444444444444444
R_1IWBI6TTDEUPshL,6.222222222222222
R_8d6Cl3a7UGAv2x3,6.444444444444445
R_3hlrZWsERytZQnM,5.0
R_2MSDgEjV0VOkQiQ,2.6666666666666665
R_3EtAPIZuJZbdnA6,4.555555555555555
R_2riuyJmwhf7oXJw,1.5555555555555556
R_8pXhj5kyayovIq4,6.222222222222222
R_8PdiFmTlm4Z4Iqw,4.111111111111111
R_833x9avNLhw0vJf,4.777777777777778
R_7JOAi7t8aKst5nL,5.111111111111111
R_1Mxw9B2tuqqHxdD,6.222222222222222
R_8JmP8A9h7cIabhn,1.6666666666666667
R_1iOwDYtLXxkmu4Z,4.888888888888889
R_8lm0MOmwviVgjHU,5.888888888888889
R_6AWtFSrdggpxkaJ,6.333333333333333
R_8uHUPBl1SULNtat,4.0
R_6iDwrWlUCGwPHXy,2.3333333333333335
R_5j6uJaMdEcrEJMS,4.777777777777778
R_5wHoX3ttRiUW43g,3.5555555555555554
R_1PiLrtgqgAHgbYJ,3.7777777777777777
R_6smIW7YFtWsOdCQ,2.6666666666666665
R_2LbtsK668RvapeF,6.0
R_8pldxKnKDimPDys,4.888888888888889
R_7cTzDfiLPQ0wBC9,5.555555555555555
R_1levP6TzI6EFeP7,4.333333333333333
R_6QEuAAP3YqW0Th7,6.444444444444445
R_6rF4jrVpI9mVj9v,6.555555555555555
R_8Yms2EHNED6fUBP,4.777777777777778
