ResponseId,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
R_2XhSm3rVuTDh2XT,1,1,2,5,5,5,5,5,5,4,5,4,2,2,1,2,3,3,1,5,
R_82J66rTAKMAkEMO,2,1,2,1,4,1,3,4,3,5,5,5,1,1,3,1,2,1,1,5,
R_80OjC1M5y1RxlPM,5,5,5,5,4,4,2,2,2,5,5,3,2,2,1,3,2,4,1,5,
R_8rdBxiZHeShoPvf,5,5,5,1,2,1,3,4,3,4,4,2,3,4,2,5,3,4,1,5,
R_2rH7YSrGIo4VOqn,5,5,5,5,5,1,5,5,5,5,5,5,1,5,1,3,1,5,1,5,
R_21XjwbyGzuOyHgI,4,4,4,2,2,1,5,5,5,5,5,5,1,3,1,2,3,3,1,5,
R_8wRkx3xsKEWvkx4,5,5,5,5,4,2,5,5,5,5,5,5,2,2,1,4,1,4,1,5,
R_2z7lDjn9lsFW9le,5,5,5,5,5,3,5,5,4,4,5,4,5,2,1,4,1,3,1,5,
R_2QZ0mVOXJ7bErCC,5,5,5,1,1,1,5,5,5,5,5,5,3,3,2,1,1,1,1,5,
R_2By8fQWBDdVOmvN,5,2,5,4,5,4,5,5,5,5,5,5,2,2,1,5,5,4,1,5,
R_7W7t8gWXV5YT89r,2,4,3,4,3,3,3,3,3,5,5,5,3,4,4,2,3,3,1,5,
R_2oHhbfWNL2kkcVd,1,1,1,5,5,4,3,4,4,3,3,4,2,1,1,2,5,4,1,5,
R_773U7ZqYsjUkFKp,4,5,5,2,2,1,2,2,2,4,5,5,4,4,4,2,1,2,1,5,
R_7s5KA1fQw1up3RI,5,4,5,1,1,2,3,4,3,4,4,4,3,3,2,1,2,1,1,5,
R_4GDEWIUC4ym26CC,4,5,5,3,4,2,3,3,4,4,5,2,2,2,3,2,1,3,1,5,
R_43mdeeA3lr99XfP,4,3,5,5,4,2,3,2,3,4,5,3,1,2,2,1,2,2,1,5,
R_2pXXnHm4NyMkzzI,4,4,4,5,5,5,5,2,4,5,5,5,1,2,1,2,1,4,1,5,
R_7QF7WxFwsbDGmNo,5,5,5,1,1,3,5,4,4,4,4,4,2,2,2,2,1,2,1,5,
R_5daHaWG1jP1noqh,5,5,5,1,3,1,4,4,4,4,4,4,2,3,4,1,1,2,1,5,
R_1j7CZRMDdlYZsRa,4,3,5,5,4,1,4,4,4,4,5,5,1,1,2,5,5,5,1,5,
R_9ewzLHjgKMw7aAo,5,5,5,5,3,2,2,3,2,4,4,4,2,2,2,4,5,4,1,5,
R_6eJKKdxcAEn8sLc,5,5,5,1,3,1,4,5,4,2,1,1,3,5,1,3,2,3,1,5,
R_7jeylS2IMX0LQHL,4,4,3,5,5,3,2,2,3,3,5,5,2,4,4,1,3,2,1,5,
R_93ORM1AwErq8M3n,5,5,5,5,5,1,5,5,4,1,5,5,3,2,1,1,2,2,1,5,
R_5QAF6WKKRnrvhgR,5,5,5,1,2,5,2,2,1,3,5,5,3,5,2,2,1,1,1,5,
R_9I5dYnTeMGdPyAF,5,5,5,5,4,2,2,2,2,3,5,2,1,1,1,2,3,2,1,5,
R_57qyyHfdXuoAZuM,3,5,5,1,4,1,5,5,5,5,5,5,3,3,1,3,4,3,1,5,
R_8GwVWwztV7oDxie,1,1,1,5,4,1,4,4,3,5,5,4,2,2,1,3,4,2,1,5,
R_4ffBkooFqHzbTXu,5,1,5,1,1,1,4,1,2,5,5,5,5,5,3,2,3,1,1,5,
R_2xFuqG16chSKLcD,5,4,4,5,3,3,5,3,5,5,4,5,4,4,1,1,4,4,1,5,
R_8dgzwbDadiIpEzC,1,3,5,4,5,4,5,5,4,4,3,5,4,5,2,3,1,2,1,5,
R_36ao9YGhC5GcZrq,5,4,4,2,4,1,3,2,4,5,5,5,2,3,2,2,3,2,1,5,
R_8c5yw36Pz3kZ3Cp,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,5,
R_2U4mfZSqUjhgxov,5,3,4,5,4,3,5,4,4,4,5,2,3,4,2,2,2,2,1,5,
R_21nfNz8AxMsB3vb,3,2,4,1,4,2,3,3,3,4,2,2,3,3,2,2,1,3,1,5,
R_21hgqYz8t5glRvQ,5,5,5,5,2,2,5,4,4,4,4,5,4,4,3,1,1,2,1,5,
R_2jJ9Enb3PhGhhr0,5,5,4,4,4,1,4,3,3,4,5,5,5,4,3,1,1,1,1,5,
R_2GBvrInZcbMS2Sn,4,5,4,2,4,3,4,5,5,3,5,5,2,2,1,3,1,2,1,5,
R_80UPG53TvLSipp9,1,1,1,5,5,5,3,3,3,5,5,5,1,2,2,4,3,4,5,5,
R_8GoYPzVdsrKHvoX,5,5,5,4,5,4,3,3,2,3,4,4,3,5,2,4,4,5,1,5,
R_2j9CQBXGXNNuzPK,5,5,5,5,4,4,5,5,5,1,5,1,2,4,2,3,2,3,1,5,
R_85ynJUGBEKkyGVb,5,5,5,2,3,2,5,4,4,5,5,5,2,2,1,2,1,3,1,5,
R_3PodwOUP2vSsgnv,1,1,1,5,1,4,5,4,4,5,5,5,1,1,1,2,3,2,1,5,
R_7WC5s3UbYjb6FoQ,4,5,5,3,5,3,4,3,3,5,5,5,2,2,2,1,2,1,2,5,
R_85RZ7KzgNx48Ks3,5,5,5,5,4,4,4,4,5,4,2,5,2,2,3,3,4,2,1,5,
R_20vDr1r7HHiVqNj,5,5,5,5,3,1,5,5,5,4,5,5,1,1,1,1,1,1,1,5,
R_2MmTlNP5xc4RGg9,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,1,2,1,1,5,
R_2fa65f8opk8WyHo,5,5,5,5,3,2,5,5,5,5,5,5,1,1,1,3,1,3,1,5,
R_2GfjC3MVnEcoTeY,5,5,5,5,5,4,3,3,3,5,5,5,3,2,1,1,1,1,1,5,
R_2EE5rJTSC8DESKw,5,5,5,5,5,5,5,5,5,4,5,5,1,2,1,2,2,2,1,5,
R_2GPHintDgstJ7cB,4,4,5,2,3,4,4,5,5,5,5,5,3,5,1,2,1,5,1,5,
R_8i9xYeUG6pgGUzV,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,1,5,
R_8lsILlZZYFC4ihg,5,5,5,5,5,1,2,4,2,5,5,5,4,2,2,4,3,4,1,5,
R_8gtFkXjmgJKhJZe,5,5,5,1,1,2,5,5,5,2,5,5,3,3,1,4,2,4,1,5,
R_137hIGLXGFs3l60,5,5,5,2,4,1,4,4,4,5,4,5,5,5,5,1,1,1,1,5,
R_6JJWJhHMGO0dgDx,5,4,4,1,2,1,4,4,3,3,3,5,4,3,4,1,4,1,1,5,
R_1HTi09RS1k4sIfV,5,2,5,5,4,3,5,5,5,3,3,4,3,3,2,2,2,2,1,5,
R_3KBzCrdG7Kixayl,4,4,4,1,1,1,4,3,2,4,4,3,5,5,4,1,2,1,1,5,
R_6FrxVHjAPK79RaF,3,5,5,1,1,1,3,2,1,5,5,5,1,1,2,2,1,1,1,5,
R_5PhwLs2FT6XpBvt,5,5,5,1,1,1,5,5,5,4,5,5,1,3,1,1,1,2,1,5,
R_67m1CvToNb2BnHK,5,5,5,1,1,1,5,5,5,5,5,5,5,5,4,1,1,1,1,5,
R_2msW0FZBeZ1QEFI,5,5,5,1,1,2,5,5,5,3,3,3,2,4,1,5,5,5,1,5,
R_2DtGGi1TA31uEEr,5,5,5,1,1,1,5,5,5,5,5,5,1,2,1,1,1,1,1,5,
R_25UT8oy5Eh47os1,5,5,5,4,5,2,3,3,2,1,5,4,5,1,3,2,2,2,1,5,
R_4ESAEdazLY4ALeU,4,4,3,1,4,1,3,3,2,1,1,2,2,2,1,2,2,2,1,5,
R_8MzkEYWgiXpb5Xu,5,4,5,1,1,1,5,5,5,5,5,5,1,1,1,3,1,4,1,5,
R_8G4hOKuGYmvSuDD,1,1,1,5,4,5,3,3,5,5,5,4,2,2,1,4,4,5,1,5,
R_8F9uw42o9nY8Uv6,3,3,5,1,3,4,2,3,1,1,1,1,1,1,3,3,5,3,1,5,
R_7780m5Lksc3sPVN,5,5,4,5,4,2,3,5,4,5,5,5,1,2,3,3,1,5,1,5,
R_2TATA4ahzZRCHGr,5,5,5,5,3,2,5,3,5,4,5,5,4,4,2,3,2,3,1,5,
R_4gTPlhPjdHSVkZW,5,5,5,5,4,1,5,5,5,5,5,5,5,5,4,1,1,1,1,5,
R_3nT0xtUA3KHN3DC,5,3,5,1,1,1,5,4,5,5,5,5,2,4,2,1,1,1,1,5,
R_4WZ4Hi5VzsoECoG,5,5,5,5,3,2,5,5,5,4,5,5,4,5,2,3,3,3,1,5,
R_3g6ISCahP3G9iD3,4,2,4,2,5,2,2,2,2,4,4,5,1,1,1,2,2,3,1,5,
R_7hRUW8QWVPjWaBP,5,3,5,5,4,5,3,3,2,5,5,5,1,3,3,1,1,2,1,5,
R_3irmCSSogJ61rCp,5,5,3,2,1,2,2,2,2,2,3,2,2,3,3,2,3,2,1,5,
R_54GEo6oVUabMnax,5,5,5,4,4,2,5,5,5,3,3,3,5,4,2,2,4,1,1,5,
R_7KyVQhuoz3xBsZj,5,3,3,3,2,2,2,2,2,1,1,1,2,3,4,2,2,2,1,5,
R_3kwN7ySaA22SJ6V,5,5,5,1,3,4,5,5,3,5,5,5,1,4,1,1,1,1,1,5,
R_1SeZht6ngAfNSq5,5,5,5,1,2,1,4,4,4,3,4,4,1,2,1,3,3,4,1,5,
R_3nP0j7VurSQ30UR,5,5,5,3,3,2,5,5,5,3,4,4,5,5,2,2,2,2,1,5,
R_1jcXe3APZpYeQZ4,5,5,5,1,1,1,5,4,5,5,5,5,1,2,1,1,1,2,1,5,
R_5khumMPXFiXq2mN,3,3,3,1,1,5,3,3,4,5,5,3,3,4,3,1,1,1,1,5,
R_2F5IyUssVznUTws,3,3,5,4,4,2,5,5,5,4,5,4,1,1,2,5,3,3,1,5,
R_7X1jQMIKoHTbgPv,5,5,5,5,4,2,5,4,4,4,5,5,2,1,2,3,2,4,1,5,
R_6kSo9g1dODtQ03c,4,3,5,5,3,3,3,3,3,4,4,1,2,3,2,2,2,4,1,5,
R_8iVJ1ho3Z4k8ZAq,5,5,5,5,1,1,5,5,4,5,5,5,3,5,2,2,3,4,1,5,
R_5jsnI41DJqrDNQZ,5,5,5,1,1,1,3,5,1,5,5,4,5,3,4,1,1,2,1,5,
R_2CK01qMaYfcChaX,5,5,5,5,3,2,2,1,2,4,2,3,4,4,3,2,2,2,1,5,
R_7osZ5aSJ6UotKKt,4,5,5,5,3,2,3,3,3,3,4,4,2,3,2,1,4,4,1,5,
R_3QFXKZfW1HNB4U1,5,5,4,5,1,1,5,5,5,5,5,5,3,2,1,2,2,2,1,5,
R_27vBMfv7MGk4616,5,5,5,4,1,3,5,5,5,4,4,3,4,4,4,3,1,3,1,5,
R_7vVagAXmB8XUfh7,1,1,3,4,5,5,3,3,3,2,3,2,4,2,3,5,1,2,1,5,
R_8YyoKugoMTn4M1z,5,5,5,1,4,1,4,4,4,5,5,5,2,4,2,3,3,3,1,5,
R_1GxAvm8KltMMzxy,5,5,5,4,5,1,5,5,2,5,5,5,3,3,3,2,4,1,1,5,
R_3QK9VzlbRCvGUNb,2,1,2,1,2,2,5,5,5,5,5,5,1,2,1,5,4,5,1,5,
R_4NPATCn461mLqxu,5,4,5,5,3,2,4,5,4,1,4,3,5,3,1,1,5,4,1,5,
R_8iXuu7H3nTSfYYJ,3,3,5,3,3,3,5,5,4,5,5,5,1,2,2,3,4,3,1,5,
R_2wuG6IXMtnlbTvu,4,4,4,1,1,1,5,5,5,5,5,5,4,4,1,2,2,2,1,5,
R_6jNtG02JTkb73U0,5,5,5,1,1,1,3,4,4,4,5,4,5,4,5,4,3,3,1,5,
R_8gUQycXKMprZPFL,5,5,5,1,1,1,5,5,5,5,3,4,1,1,1,2,4,3,1,5,
R_7LImanS7l4SfAir,5,5,5,1,2,2,4,4,4,2,5,4,3,2,2,1,1,2,1,5,
R_3X0WlmQtw40DxaZ,4,5,4,4,4,5,3,3,2,3,4,3,3,4,2,2,5,4,1,5,
R_9yY0qviKJyp5GiB,5,1,5,5,5,1,5,5,5,5,4,5,1,2,2,1,1,1,1,5,
R_1RPKbY79g78GY8Z,5,5,5,1,1,1,5,5,5,5,5,5,1,2,1,1,1,5,1,5,
R_1n0zaXyH6ohTTib,5,4,5,4,3,2,4,4,4,5,5,3,4,2,1,4,4,3,1,5,
R_34CmpeXlVQoqBRT,5,4,5,5,5,4,5,4,5,2,5,5,2,3,1,5,1,5,1,5,
R_18YCSXlA5fLl7jP,5,5,5,4,4,3,4,4,4,3,5,5,1,3,1,4,5,5,1,5,
R_3vdL508QUg6aR8p,4,5,5,1,5,1,4,4,4,5,5,5,1,1,1,1,2,5,1,5,
R_3PoESucOHvYAbBO,4,4,5,5,3,1,5,5,5,4,4,5,5,5,5,1,1,1,2,5,
R_7fH4Uwtn6A5kYP0,5,4,5,1,1,1,2,3,2,1,1,1,1,2,1,5,3,5,1,5,
R_1mO2vkLwu78FG8x,2,1,2,4,5,2,1,1,2,2,1,1,2,3,2,3,4,3,1,5,
R_5kNOul3JzyJ4xyu,5,5,5,1,1,1,3,4,2,2,4,5,5,5,2,5,5,5,1,5,
R_4c9LpjNyoJ9tcKR,5,5,5,4,1,1,3,3,3,3,4,1,1,1,1,5,4,5,1,5,
R_6TwA8WyH84D4kNj,5,5,5,3,2,2,4,5,5,3,4,3,1,1,1,4,4,5,1,5,
R_2atwkWhB5uThaiB,5,5,5,5,5,2,4,4,3,3,4,4,2,2,3,4,4,4,5,5,
R_8ijU2gc80n03bLy,5,4,4,5,5,5,5,5,5,2,5,5,3,1,3,1,4,2,1,5,
R_8gu5P1JNpANUF7k,5,3,5,2,1,1,4,4,5,5,5,5,2,3,1,1,1,1,1,5,
R_7JW7F9vQUpTcT7j,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,3,1,1,5,
R_5QF8eBnBf7KdwlV,5,5,5,1,1,1,5,1,4,5,5,5,5,5,4,1,1,1,1,5,
R_5PdebkDfuiyxn1A,4,5,4,4,5,4,5,4,5,1,3,3,4,5,3,4,3,4,2,5,
R_4BFbOLahtq76Epz,5,4,5,5,1,1,5,5,5,5,5,5,1,1,1,3,2,3,1,5,
R_2kgruKDCPJryY7L,5,5,5,5,4,2,2,2,2,4,4,3,1,2,1,1,1,2,1,5,
R_5IbIANEoFkvnH9f,3,4,2,1,1,1,4,1,2,4,3,2,3,4,4,1,1,2,1,5,
R_3XgCnO2PFLRTrfb,5,3,3,5,3,1,3,3,2,4,5,5,3,3,3,1,3,2,1,5,
R_7JBWyQIvPN5Mn5f,5,5,5,1,1,1,5,5,5,1,3,5,1,3,1,3,5,1,1,5,
R_5VpIpoJ6NLtbqud,5,3,5,2,2,1,4,2,3,4,5,5,5,4,4,3,2,1,1,5,
R_8IYwikfq6sqEm14,5,5,5,2,4,2,4,4,4,3,4,4,1,2,2,4,4,4,1,5,
R_6FJ7nh5uyI7mRQw,4,4,3,5,4,2,3,3,3,4,5,3,2,4,1,1,4,1,1,5,
R_50SegqSp1pViEwz,5,5,5,4,4,1,5,5,5,5,5,5,4,1,1,3,4,4,1,5,
R_2h9kJ0GNGHOs3JU,4,2,2,5,4,4,3,4,3,2,2,2,2,3,4,1,5,3,2,5,
R_3YbOzhhZlGGdgHL,2,2,4,2,1,1,3,2,3,3,4,3,3,5,3,3,1,3,1,5,
R_5JIgR9BWV3XH0CB,1,2,2,1,4,1,2,1,1,3,4,4,4,4,4,1,4,2,1,5,
R_6njcVlMg90NBySB,1,2,5,4,4,5,5,5,4,1,5,5,5,5,5,3,3,1,1,5,
R_7WUNoxTOnO6U2yJ,3,3,3,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,3,5,
R_3MaOrycpd4yC1P3,5,5,5,5,3,3,5,5,5,5,5,5,2,2,2,3,4,3,1,5,
R_3jDQmBnrSWUklzz,5,5,5,5,4,1,5,5,5,5,5,5,1,1,1,1,1,1,1,5,
R_60Iuga4Z6yL5CI8,5,2,5,2,3,2,5,5,5,2,2,2,5,4,3,2,3,3,1,5,
R_3CO13leyO0zLD5W,1,1,3,1,1,2,2,1,2,3,5,4,3,3,5,1,2,1,1,5,
R_9EbOzvpNpa2wilk,4,2,4,4,3,3,4,5,5,1,4,4,3,3,1,4,4,4,1,5,
R_7QY9q8XilRLKstG,5,3,4,2,3,1,3,3,2,2,4,5,3,5,4,1,3,2,1,5,
R_6dEk7tRbV3LaFX3,5,5,5,5,4,3,3,2,2,4,5,5,5,4,4,1,1,2,1,5,
R_10qve2wOIYZYW4S,5,1,4,5,2,2,5,3,3,5,4,4,5,5,1,1,4,2,1,5,
R_5Jz2BKaGz36Aacw,5,5,5,1,1,1,5,5,5,5,5,5,5,2,1,1,1,3,1,5,
R_3YLBzV7SkT76JSk,1,1,3,5,5,5,5,5,5,5,5,5,3,2,1,1,1,1,1,5,
R_71eIihtEmtR9l9D,4,5,5,3,4,2,5,5,5,5,5,5,2,2,1,1,1,3,1,5,
R_8G5Hz6s4HL6zTeF,5,2,5,1,3,1,3,2,3,5,5,5,1,1,2,2,4,2,1,5,
R_1LHegeibglA8OXo,5,3,5,1,2,3,3,4,4,5,5,2,1,3,1,2,2,1,1,5,
R_1uEav9ajs52pZmh,5,5,5,4,4,3,5,5,5,5,5,5,3,2,3,1,2,3,1,5,
R_6eK67Dwd9ht07GN,5,5,5,1,1,1,5,5,5,5,5,5,5,5,3,1,1,1,1,5,
R_6VdM7bgsPWGt9Db,5,5,5,3,2,1,2,2,2,4,5,5,1,2,1,4,4,3,1,5,
R_8LLtgLKhBNA4S3j,4,4,4,2,1,2,3,2,3,3,4,2,2,2,2,2,1,2,1,5,
R_5P7FCo5BmthYc3n,5,5,5,5,5,2,3,1,2,4,2,5,4,5,3,3,4,2,1,5,
R_7U4WLnLfxCUrrwt,5,5,5,4,2,1,1,2,5,1,4,3,5,5,5,1,1,1,1,5,
R_3hrW82adgZcyfIX,4,2,3,3,2,1,2,2,2,1,1,1,3,3,4,1,1,1,1,5,
R_3yq9w5UucqeYNt7,5,5,5,5,1,1,5,3,4,1,3,1,1,3,1,5,1,5,1,5,
R_11HS9eONc56dsiZ,5,4,5,2,2,5,3,2,3,5,5,5,3,4,3,2,2,1,1,5,
R_8yscByO1TQthNRh,5,5,5,5,3,2,5,5,5,5,5,5,1,3,2,2,2,4,1,5,
R_8EMZWaYkigJCgSt,5,4,3,1,1,1,3,3,2,5,4,4,2,3,2,1,2,2,1,5,
R_85SBT8r1IZR94am,5,5,5,2,3,4,1,1,1,1,2,1,4,5,5,1,1,1,1,5,
R_8aKtbno2lglAgui,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,
R_2JLumzHtoKQLAyC,5,5,5,5,5,5,5,5,5,2,1,5,5,5,5,2,1,2,1,5,
R_2EX9dVtMIDX097K,2,2,3,5,5,2,5,4,4,3,2,2,5,4,3,2,1,3,1,5,
R_1FUo0lxhNIRsf81,3,3,2,4,4,3,3,2,2,5,2,4,2,3,1,1,1,2,1,5,
R_20p1bd3unHpzuKt,5,2,4,1,2,1,5,5,4,5,5,5,2,3,2,1,1,2,1,5,
R_8AX1A9aMmrBx1xD,5,5,5,1,4,4,5,4,5,5,4,5,1,2,1,2,1,3,1,5,
R_2CT7Frdh46f3Iur,5,5,5,2,2,2,5,5,5,5,5,5,3,3,2,3,2,2,1,5,
R_2ynY01fw9XWR7LX,5,5,5,2,2,2,4,4,4,5,5,5,2,1,1,3,3,4,1,5,
R_7PaZ45nY89wa57j,5,5,5,2,2,1,5,5,5,5,5,5,2,1,1,2,1,4,1,5,
R_2fpGkicW4GZYeMQ,5,5,5,1,1,1,4,4,3,5,5,5,2,4,1,3,3,4,1,5,
R_1DRU2225CUAvX8A,3,2,5,5,5,3,5,5,5,5,5,5,2,2,1,4,2,4,3,5,
R_1y7yuYfwzbn3l1v,5,5,5,3,5,2,5,5,4,5,5,4,5,3,2,2,2,3,4,5,
R_1o5wjhVupQdtVNN,4,4,5,2,4,3,5,4,4,5,5,5,2,2,2,2,2,1,1,5,
R_1IWBI6TTDEUPshL,5,5,5,1,1,2,5,5,5,5,3,5,1,5,1,1,4,3,1,5,
R_8d6Cl3a7UGAv2x3,4,5,5,1,1,1,4,3,3,5,4,4,2,2,1,1,2,1,1,5,
R_3hlrZWsERytZQnM,5,5,5,1,2,1,4,5,5,2,5,5,5,5,4,4,4,5,1,5,
R_2MSDgEjV0VOkQiQ,5,5,4,4,4,3,5,5,3,4,5,5,2,1,1,5,5,5,1,5,
R_3EtAPIZuJZbdnA6,5,5,5,1,1,1,5,5,5,5,5,5,5,1,1,5,1,5,1,5,
R_2riuyJmwhf7oXJw,5,5,5,1,4,1,5,3,5,5,5,5,5,5,5,3,5,2,1,5,
R_8pXhj5kyayovIq4,4,5,5,1,1,2,5,5,4,1,5,5,2,5,3,3,3,3,1,5,
R_8PdiFmTlm4Z4Iqw,5,3,5,5,5,4,5,5,5,4,5,4,3,2,3,4,2,4,1,5,
R_833x9avNLhw0vJf,1,3,1,5,3,5,5,5,5,1,5,4,1,1,1,5,5,5,1,5,
R_7JOAi7t8aKst5nL,5,4,5,2,3,1,4,4,4,2,5,4,5,1,2,2,3,2,1,5,
R_1Mxw9B2tuqqHxdD,5,5,4,1,1,1,5,5,4,5,5,5,2,1,1,1,1,2,1,5,
R_8JmP8A9h7cIabhn,4,4,5,5,5,2,5,5,5,5,5,5,2,2,2,5,4,4,1,5,
R_1iOwDYtLXxkmu4Z,5,5,5,4,4,2,3,3,3,3,5,3,2,2,3,2,2,2,1,5,
R_8lm0MOmwviVgjHU,5,5,5,3,3,3,5,5,5,5,5,5,1,5,1,5,5,5,1,5,
R_6AWtFSrdggpxkaJ,5,5,5,1,1,3,4,4,5,5,5,1,1,1,1,4,5,5,1,5,
R_8uHUPBl1SULNtat,5,5,4,4,2,1,2,2,2,2,5,3,3,2,2,2,2,1,1,5,
R_6iDwrWlUCGwPHXy,5,5,5,2,1,1,5,5,5,5,4,4,4,4,2,2,5,3,1,5,
R_5j6uJaMdEcrEJMS,5,5,5,1,3,1,3,5,4,3,5,1,1,1,1,5,4,5,1,5,
R_5wHoX3ttRiUW43g,3,4,3,2,2,1,4,3,3,3,4,4,4,5,4,2,2,2,1,5,
R_1PiLrtgqgAHgbYJ,5,5,5,2,2,2,4,4,5,5,5,4,2,2,2,1,1,2,1,5,
R_6smIW7YFtWsOdCQ,1,1,1,1,2,3,1,1,1,5,5,5,3,5,4,1,1,2,1,5,
R_2LbtsK668RvapeF,5,5,5,5,5,1,2,2,2,4,3,3,2,2,1,2,4,2,1,5,
R_8pldxKnKDimPDys,1,1,1,1,5,1,1,1,1,5,5,5,1,1,1,1,3,1,1,5,
R_7cTzDfiLPQ0wBC9,5,5,5,5,1,1,5,5,5,5,5,5,1,1,1,1,1,1,1,5,
R_1levP6TzI6EFeP7,3,3,5,5,4,2,4,4,4,4,4,5,4,4,5,1,2,1,1,5,
R_6QEuAAP3YqW0Th7,3,4,4,5,2,1,3,5,5,2,5,5,1,1,1,4,1,3,1,5,
R_6rF4jrVpI9mVj9v,4,1,4,4,4,1,5,5,5,5,5,5,1,1,1,4,4,3,1,5,
R_8Yms2EHNED6fUBP,5,5,5,1,1,1,2,5,5,5,5,5,3,1,5,1,1,1,1,5,
