ResponseId,vision,sound,smell,taste,touch,bodily,emotional
R_2XhSm3rVuTDh2XT,10.0,10.0,10.0,10.0,10.0,10.0,10.0
R_82J66rTAKMAkEMO,8.666666666666666,7.0,8.0,8.5,8.5,7.4,7.4
R_80OjC1M5y1RxlPM,7.8,6.0,4.8,7.6,7.6,7.0,4.2
R_8rdBxiZHeShoPvf,10.0,9.6,9.6,10.0,10.0,9.2,7.2
R_2rH7YSrGIo4VOqn,0.0,0.0,0.0,0.0,0.0,0.0,1.6
R_21XjwbyGzuOyHgI,3.8,4.8,2.6,3.6,4.0,2.8,6.8
R_8wRkx3xsKEWvkx4,10.0,10.0,10.0,10.0,10.0,10.0,10.0
R_2z7lDjn9lsFW9le,0.0,10.0,7.6,0.0,9.4,10.0,10.0
R_2QZ0mVOXJ7bErCC,9.6,10.0,10.0,10.0,10.0,10.0,10.0
R_2By8fQWBDdVOmvN,8.8,7.25,7.0,7.0,8.0,8.6,4.6
R_7W7t8gWXV5YT89r,8.0,10.0,6.4,8.0,8.8,7.0,8.6
R_2oHhbfWNL2kkcVd,9.0,9.2,4.4,5.6,8.4,8.0,5.4
R_773U7ZqYsjUkFKp,5.8,8.2,3.6,3.4,4.6,7.2,9.0
R_7s5KA1fQw1up3RI,8.4,5.25,5.0,6.8,3.6,2.0,5.6
R_4GDEWIUC4ym26CC,8.6,8.8,6.8,8.0,6.2,7.2,4.6
R_43mdeeA3lr99XfP,8.6,6.8,6.6,6.0,5.8,6.2,5.4
R_2pXXnHm4NyMkzzI,8.8,9.0,7.2,7.6,10.0,7.8,4.6
R_7QF7WxFwsbDGmNo,10.0,10.0,6.0,7.6,10.0,10.0,10.0
R_5daHaWG1jP1noqh,4.0,5.0,6.0,5.2,5.2,5.2,5.4
R_1j7CZRMDdlYZsRa,3.2,3.0,2.0,2.4,6.0,5.2,5.0
R_9ewzLHjgKMw7aAo,7.2,7.4,7.4,7.2,7.2,7.8,8.2
R_6eJKKdxcAEn8sLc,7.2,5.6,1.4,2.4,6.2,7.8,7.8
R_7jeylS2IMX0LQHL,7.8,8.4,7.6,7.0,9.0,8.6,7.0
R_93ORM1AwErq8M3n,8.0,9.6,9.0,9.4,9.4,8.8,8.2
R_5QAF6WKKRnrvhgR,3.2,0.0,6.6,4.0,4.0,2.8,6.4
R_9I5dYnTeMGdPyAF,9.8,8.8,7.2,7.6,7.0,7.0,6.6
R_57qyyHfdXuoAZuM,10.0,10.0,5.6,7.0,8.0,5.8,4.4
R_8GwVWwztV7oDxie,7.6,9.8,6.8,9.2,8.2,6.6,8.4
R_4ffBkooFqHzbTXu,7.6,8.0,8.8,8.4,5.0,7.4,7.6
R_2xFuqG16chSKLcD,6.2,6.2,6.0,7.4,6.8,5.6,6.2
R_8dgzwbDadiIpEzC,8.2,5.8,8.8,6.0,9.4,9.0,6.6
R_36ao9YGhC5GcZrq,0.0,0.0,0.0,0.0,0.0,0.0,2.4
R_8c5yw36Pz3kZ3Cp,7.8,9.0,9.0,9.0,9.0,9.0,9.0
R_2U4mfZSqUjhgxov,9.0,7.0,7.0,8.0,9.0,8.8,9.0
R_21nfNz8AxMsB3vb,9.8,9.8,5.8,7.4,8.2,6.4,8.8
R_21hgqYz8t5glRvQ,8.4,8.0,4.6,4.2,9.6,8.8,6.4
R_2jJ9Enb3PhGhhr0,0.0,0.4,0.0,0.0,0.2,1.0,3.0
R_2GBvrInZcbMS2Sn,9.6,8.8,8.8,7.8,9.0,8.0,6.0
R_80UPG53TvLSipp9,9.4,9.4,10.0,7.2,10.0,9.6,8.6
R_8GoYPzVdsrKHvoX,8.6,9.2,6.4,7.2,6.6,4.8,6.6
R_2j9CQBXGXNNuzPK,5.8,7.6,7.8,5.4,7.2,8.4,7.4
R_85ynJUGBEKkyGVb,10.0,10.0,10.0,10.0,10.0,9.8,10.0
R_3PodwOUP2vSsgnv,5.0,5.0,8.0,8.0,8.0,8.0,5.6
R_7WC5s3UbYjb6FoQ,4.2,3.8,2.6,2.4,2.4,3.6,4.0
R_85RZ7KzgNx48Ks3,8.8,7.8,6.0,2.6,,5.4,6.6
R_20vDr1r7HHiVqNj,10.0,8.8,8.2,10.0,8.4,8.4,8.4
R_2MmTlNP5xc4RGg9,10.0,10.0,6.0,9.0,9.6,7.4,6.8
R_2fa65f8opk8WyHo,9.6,9.4,7.8,4.4,8.75,8.4,9.2
R_2GfjC3MVnEcoTeY,8.2,7.6,4.0,3.4,6.2,5.8,4.8
R_2EE5rJTSC8DESKw,8.0,6.8,4.8,4.0,6.8,5.6,7.6
R_2GPHintDgstJ7cB,2.4,7.4,1.2,1.2,3.8,3.0,6.6
R_8i9xYeUG6pgGUzV,9.6,8.0,7.2,6.2,6.8,6.2,8.0
R_8lsILlZZYFC4ihg,8.0,10.0,1.8,4.2,7.2,8.5,6.666666666666667
R_8gtFkXjmgJKhJZe,9.2,8.6,6.6,8.4,6.8,6.6,6.4
R_137hIGLXGFs3l60,7.4,7.6,3.8,9.2,8.4,7.2,6.2
R_6JJWJhHMGO0dgDx,0.0,3.0,3.0,3.8,3.0,5.0,7.0
R_1HTi09RS1k4sIfV,7.6,8.0,7.4,9.0,8.2,7.6,7.0
R_3KBzCrdG7Kixayl,1.0,8.2,4.8,6.2,7.2,5.2,6.2
R_6FrxVHjAPK79RaF,7.2,8.2,6.0,5.2,6.6,7.4,7.2
R_5PhwLs2FT6XpBvt,9.0,9.0,8.6,9.0,9.0,9.0,9.0
R_67m1CvToNb2BnHK,6.4,6.4,5.0,5.4,6.4,5.4,6.6
R_2msW0FZBeZ1QEFI,3.6666666666666665,7.6,0.2,1.2,7.4,4.6,6.2
R_2DtGGi1TA31uEEr,10.0,10.0,10.0,10.0,10.0,10.0,6.8
R_25UT8oy5Eh47os1,9.6,10.0,9.2,9.2,9.6,8.4,8.6
R_4ESAEdazLY4ALeU,1.0,2.2,1.0,0.8,1.2,1.8,7.0
R_8MzkEYWgiXpb5Xu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_8G4hOKuGYmvSuDD,4.6,7.0,1.4,1.2,3.0,5.4,5.8
R_8F9uw42o9nY8Uv6,9.4,8.4,6.6,6.8,9.6,7.4,9.0
R_7780m5Lksc3sPVN,6.4,3.2,6.0,6.6,8.6,8.6,7.8
R_2TATA4ahzZRCHGr,8.2,7.0,3.8,9.2,10.0,8.8,9.2
R_4gTPlhPjdHSVkZW,9.6,9.0,9.2,10.0,9.4,9.0,9.0
R_3nT0xtUA3KHN3DC,9.0,8.6,7.6,8.4,7.8,7.8,8.2
R_4WZ4Hi5VzsoECoG,8.4,7.4,5.8,3.0,7.0,6.0,7.2
R_3g6ISCahP3G9iD3,10.0,8.2,6.8,8.4,7.4,6.4,10.0
R_7hRUW8QWVPjWaBP,8.0,10.0,10.0,10.0,10.0,10.0,10.0
R_3irmCSSogJ61rCp,9.8,5.0,6.4,4.8,8.8,9.6,6.8
R_54GEo6oVUabMnax,5.6,5.6,3.4,2.0,2.4,2.8,3.2
R_7KyVQhuoz3xBsZj,9.0,9.0,6.0,6.8,9.6,9.2,9.2
R_3kwN7ySaA22SJ6V,6.2,5.2,2.0,3.2,8.0,5.6,7.6
R_1SeZht6ngAfNSq5,9.2,10.0,9.0,8.8,10.0,7.4,10.0
R_3nP0j7VurSQ30UR,9.8,10.0,9.2,10.0,9.6,8.0,9.6
R_1jcXe3APZpYeQZ4,8.8,8.4,8.8,8.6,8.2,8.8,8.0
R_5khumMPXFiXq2mN,10.0,10.0,10.0,0.4,3.6,8.0,10.0
R_2F5IyUssVznUTws,9.0,8.2,6.6,6.8,8.6,7.6,4.6
R_7X1jQMIKoHTbgPv,9.4,8.0,9.4,7.0,8.0,9.8,7.8
R_6kSo9g1dODtQ03c,7.6,8.8,8.2,7.4,8.2,9.6,10.0
R_8iVJ1ho3Z4k8ZAq,0.0,3.4,1.0,0.0,3.0,4.6,7.8
R_5jsnI41DJqrDNQZ,7.0,10.0,7.0,1.0,10.0,10.0,10.0
R_2CK01qMaYfcChaX,6.8,6.8,1.2,2.6,6.0,4.8,6.8
R_7osZ5aSJ6UotKKt,7.2,7.0,5.0,4.6,3.25,3.2,7.0
R_3QFXKZfW1HNB4U1,4.4,3.2,3.6,4.4,7.8,7.4,6.6
R_27vBMfv7MGk4616,7.2,7.8,4.6,3.6,6.8,6.2,6.4
R_7vVagAXmB8XUfh7,9.6,9.0,5.2,4.2,6.6,2.6,7.8
R_8YyoKugoMTn4M1z,7.6,4.6,7.2,8.6,8.2,9.0,7.2
R_1GxAvm8KltMMzxy,10.0,9.6,10.0,8.0,10.0,7.2,7.4
R_3QK9VzlbRCvGUNb,9.6,10.0,9.4,10.0,9.6,9.0,7.6
R_4NPATCn461mLqxu,7.0,9.0,9.6,8.6,6.6,7.2,8.0
R_8iXuu7H3nTSfYYJ,7.6,8.2,7.4,8.6,6.0,6.4,6.4
R_2wuG6IXMtnlbTvu,7.0,2.0,0.0,0.0,0.0,0.8,0.2
R_6jNtG02JTkb73U0,9.2,10.0,8.2,9.2,9.0,8.2,10.0
R_8gUQycXKMprZPFL,8.8,10.0,8.2,7.0,9.0,9.0,10.0
R_7LImanS7l4SfAir,7.2,5.8,5.2,6.2,7.2,8.0,6.0
R_3X0WlmQtw40DxaZ,8.4,7.4,8.4,6.2,9.8,7.2,7.2
R_9yY0qviKJyp5GiB,8.8,7.2,9.4,8.2,8.8,8.6,7.8
R_1RPKbY79g78GY8Z,8.2,9.2,7.4,9.2,8.6,8.6,7.8
R_1n0zaXyH6ohTTib,10.0,9.6,7.2,5.4,6.8,7.2,9.2
R_34CmpeXlVQoqBRT,10.0,9.2,8.6,8.8,10.0,10.0,10.0
R_18YCSXlA5fLl7jP,10.0,10.0,8.4,4.0,6.0,4.2,4.4
R_3vdL508QUg6aR8p,7.0,8.0,6.4,8.4,8.4,7.8,9.0
R_3PoESucOHvYAbBO,6.4,2.6,0.2,1.0,6.2,3.6,9.0
R_7fH4Uwtn6A5kYP0,5.0,8.0,3.2,3.0,5.4,5.2,4.8
R_1mO2vkLwu78FG8x,3.8,6.0,3.2,4.2,3.2,5.8,4.2
R_5kNOul3JzyJ4xyu,7.0,10.0,10.0,10.0,10.0,10.0,10.0
R_4c9LpjNyoJ9tcKR,1.4,1.2,2.0,0.8,7.2,8.4,9.6
R_6TwA8WyH84D4kNj,10.0,9.8,9.4,10.0,9.8,9.8,10.0
R_2atwkWhB5uThaiB,7.6,5.2,5.8,5.2,7.2,4.8,3.2
R_8ijU2gc80n03bLy,10.0,8.8,6.4,5.8,8.0,6.8,8.0
R_8gu5P1JNpANUF7k,6.0,6.6,3.0,3.0,4.0,3.0,7.0
R_7JW7F9vQUpTcT7j,10.0,10.0,10.0,10.0,10.0,10.0,10.0
R_5QF8eBnBf7KdwlV,0.0,0.0,6.6,5.0,9.2,7.8,7.6
R_5PdebkDfuiyxn1A,7.0,7.0,6.8,6.2,8.0,7.0,7.4
R_4BFbOLahtq76Epz,5.0,3.0,4.0,6.0,8.0,8.6,10.0
R_2kgruKDCPJryY7L,4.0,3.6,2.6,3.6,5.8,3.6,3.0
R_5IbIANEoFkvnH9f,9.2,8.2,9.0,9.2,9.0,8.6,6.4
R_3XgCnO2PFLRTrfb,0.0,9.2,5.6,5.4,3.2,3.2,0.0
R_6CZbs9vPfVcWCkh,,,,,9.0,9.0,4.2
R_7JBWyQIvPN5Mn5f,9.0,10.0,4.8,7.6,9.0,7.8,8.2
R_5VpIpoJ6NLtbqud,7.4,7.2,6.4,8.0,7.0,7.2,6.8
R_8IYwikfq6sqEm14,7.8,6.2,5.0,6.8,5.6,4.8,4.8
R_6FJ7nh5uyI7mRQw,6.6,9.0,9.2,6.8,9.4,6.6,7.6
R_50SegqSp1pViEwz,9.0,9.0,9.0,9.0,9.0,9.0,9.4
R_2h9kJ0GNGHOs3JU,8.2,8.6,3.6,5.2,7.4,5.6,4.8
R_3YbOzhhZlGGdgHL,8.4,8.0,9.8,9.6,9.4,9.0,8.0
R_5JIgR9BWV3XH0CB,10.0,10.0,4.6,6.4,10.0,10.0,9.6
R_6njcVlMg90NBySB,8.6,8.4,10.0,10.0,7.4,5.4,9.0
R_7WUNoxTOnO6U2yJ,10.0,10.0,10.0,8.0,10.0,10.0,10.0
R_3MaOrycpd4yC1P3,8.8,8.6,7.6,8.0,8.4,8.2,8.2
R_3jDQmBnrSWUklzz,2.0,6.2,1.0,2.6,4.0,6.4,6.6
R_60Iuga4Z6yL5CI8,6.2,8.2,7.6,9.0,10.0,7.4,7.4
R_3CO13leyO0zLD5W,1.2,0.8,1.2,0.6,1.8,2.4,1.8
R_9EbOzvpNpa2wilk,8.4,8.0,4.8,4.4,9.2,7.8,6.4
R_7QY9q8XilRLKstG,5.2,2.8,2.4,2.2,5.0,5.0,4.0
R_6dEk7tRbV3LaFX3,10.0,10.0,8.0,9.4,10.0,9.6,7.8
R_10qve2wOIYZYW4S,4.0,3.0,2.8,3.2,5.0,4.2,3.2
R_5Jz2BKaGz36Aacw,9.0,9.0,7.2,5.8,6.2,5.4,7.2
R_3YLBzV7SkT76JSk,8.6,10.0,1.2,5.8,6.6,8.0,10.0
R_71eIihtEmtR9l9D,8.4,8.4,7.4,7.4,7.6,8.0,7.8
R_8G5Hz6s4HL6zTeF,7.8,8.0,6.2,8.8,8.8,8.6,9.4
R_1LHegeibglA8OXo,9.4,8.4,7.6,8.2,9.2,9.0,9.0
R_1uEav9ajs52pZmh,9.6,6.6,7.8,7.4,8.6,7.0,8.4
R_6eK67Dwd9ht07GN,2.8,10.0,0.0,0.0,0.0,3.2,6.6
R_6VdM7bgsPWGt9Db,8.0,7.6,7.8,6.4,7.8,7.4,7.2
R_8LLtgLKhBNA4S3j,6.8,5.4,2.2,5.8,5.6,5.6,6.0
R_5P7FCo5BmthYc3n,8.4,7.8,7.8,4.0,10.0,7.2,8.0
R_7U4WLnLfxCUrrwt,7.4,8.2,10.0,10.0,9.0,8.4,8.0
R_3hrW82adgZcyfIX,8.2,8.4,3.6,3.6,2.2,4.0,2.8
R_3yq9w5UucqeYNt7,9.6,10.0,10.0,10.0,10.0,10.0,10.0
R_11HS9eONc56dsiZ,5.8,4.4,2.4,2.0,2.2,2.4,4.0
R_8yscByO1TQthNRh,8.2,9.0,9.0,9.0,8.2,8.6,4.8
R_8EMZWaYkigJCgSt,6.8,4.6,2.2,4.4,6.6,4.4,5.0
R_85SBT8r1IZR94am,8.4,9.6,2.8,7.8,9.6,4.8,0.0
R_8aKtbno2lglAgui,0.2,1.6,2.2,2.2,2.6,2.2,3.0
R_2JLumzHtoKQLAyC,10.0,10.0,10.0,10.0,10.0,10.0,10.0
R_2EX9dVtMIDX097K,8.2,8.8,9.0,8.6,8.6,8.0,8.4
R_1FUo0lxhNIRsf81,9.0,10.0,9.6,9.0,10.0,10.0,9.8
R_20p1bd3unHpzuKt,9.8,9.0,8.6,8.8,9.8,6.6,7.0
R_8AX1A9aMmrBx1xD,9.8,8.2,9.0,6.8,9.0,8.6,7.8
R_2CT7Frdh46f3Iur,7.4,6.4,2.0,1.6,6.8,7.4,5.0
R_2ynY01fw9XWR7LX,8.0,6.0,5.4,7.0,9.0,7.8,7.0
R_7PaZ45nY89wa57j,7.8,7.4,5.2,6.8,7.6,7.0,8.8
R_2fpGkicW4GZYeMQ,7.2,5.2,6.6,5.2,7.8,5.8,6.0
R_1DRU2225CUAvX8A,8.8,7.6,4.6,8.2,5.6,6.2,6.6
R_1y7yuYfwzbn3l1v,3.3333333333333335,4.25,4.0,4.8,4.8,6.4,6.4
R_1o5wjhVupQdtVNN,10.0,9.6,4.2,7.0,8.0,5.6,7.4
R_1IWBI6TTDEUPshL,10.0,10.0,6.8,7.2,8.6,9.2,10.0
R_8d6Cl3a7UGAv2x3,3.0,4.8,3.0,3.0,4.0,5.0,6.0
R_3hlrZWsERytZQnM,8.6,8.0,3.4,2.4,6.2,3.8,8.4
R_2MSDgEjV0VOkQiQ,6.0,4.0,3.8,5.2,6.0,4.4,5.2
R_3EtAPIZuJZbdnA6,7.8,5.8,5.75,9.8,7.6,8.6,4.2
R_2riuyJmwhf7oXJw,7.4,9.4,8.4,7.6,9.0,8.4,9.2
R_8pXhj5kyayovIq4,6.8,5.2,6.0,6.8,6.0,6.8,7.6
R_8PdiFmTlm4Z4Iqw,6.8,6.0,5.6,6.4,7.0,6.8,6.0
R_833x9avNLhw0vJf,7.8,10.0,7.2,6.2,9.4,8.4,10.0
R_7JOAi7t8aKst5nL,6.2,5.6,2.0,0.4,6.2,5.6,10.0
R_1Mxw9B2tuqqHxdD,7.6,5.2,3.2,2.4,5.6,4.4,4.8
R_8JmP8A9h7cIabhn,9.6,9.8,9.4,10.0,9.4,9.4,9.2
R_1iOwDYtLXxkmu4Z,2.2,4.0,3.4,5.4,5.8,3.6,3.0
R_8lm0MOmwviVgjHU,10.0,10.0,10.0,9.6,10.0,10.0,10.0
R_6AWtFSrdggpxkaJ,8.0,8.6,8.2,9.8,8.6,7.6,7.6
R_8uHUPBl1SULNtat,7.8,9.8,9.2,9.6,9.6,,5.6
R_6iDwrWlUCGwPHXy,9.6,8.0,8.4,9.2,9.2,9.2,8.4
R_5j6uJaMdEcrEJMS,7.0,6.8,4.4,5.4,7.4,5.6,9.6
R_5wHoX3ttRiUW43g,5.0,7.2,5.2,5.4,6.8,6.0,6.4
R_1PiLrtgqgAHgbYJ,10.0,10.0,10.0,10.0,9.4,9.2,10.0
R_6smIW7YFtWsOdCQ,2.2,0.4,1.0,1.4,2.4,3.0,1.4
R_2LbtsK668RvapeF,6.6,6.2,1.0,5.0,6.8,8.4,7.0
R_8pldxKnKDimPDys,7.4,7.6,4.2,5.2,7.6,6.8,7.4
R_7cTzDfiLPQ0wBC9,8.0,8.0,8.0,8.0,7.6,8.0,8.0
R_1levP6TzI6EFeP7,8.2,9.2,8.4,9.2,9.6,9.75,10.0
R_6QEuAAP3YqW0Th7,7.0,5.4,7.2,5.2,8.6,8.6,8.2
R_6rF4jrVpI9mVj9v,7.2,7.6,6.4,5.2,7.8,8.2,8.2
R_8Yms2EHNED6fUBP,10.0,10.0,5.8,6.4,9.0,9.6,7.8
